"OldName","NewName","Folder","Description","Candidate","Line"
"Titre Gestion Locative HTML","Titre HTML gestion locative","Restitution","Sert à afficher un texte, une couleur ou un contenu de restitution dans le rapport. La comparaison se fait avec la même période de l'année précédente.","False","4186"
"PPM1","Passages en perte du mois précédent","Temps","Sert à comparer ou cumuler un indicateur dans le temps. La comparaison se fait avec le mois précédent.","False","259"
"Armos Quittancement Théorique","Armos Quittancement Théorique","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","1517"
"Loyers Quittançables HC","Loyers Quittançables HC","Vacance\Financière","Mesure le montant ou le volume lié à la vacance.","False","2706"
"Loyers Quittançables TCC","Loyers Quittançables TCC","Vacance\Financière","Mesure le montant ou le volume lié à la vacance.","False","1499"
"MontantTotal3*vacance_SUMX","Montant total des vacances élevées","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","1521"
"% Tx Vac Comm YTD","Taux de vacance commerciale cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","560"
"Tx de vacance fi YTD comm recalcul","Taux de vacance financière cumul annuel commerciale recalcul","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","1325"
"Tx de vacance fi YTD Strat recalcul","Taux de vacance financière cumul annuel stratégique recalcul","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","1329"
"Tx de vacance fi YTD Tech recalcul","Taux de vacance financière cumul annuel technique recalcul","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","1333"
"% Tx Vac Fi YTD","Taux de vacance financière cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","431"
"% Vacance Financière Logements YTD","Taux de vacance financière logements cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","3606"
"% Vacance Financière Logements YTD M-1","Taux de vacance financière logements cumulé annuel du mois précédent","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. La comparaison se fait avec le mois précédent.","False","4033"
"% Vacance Financière Logements M-1","Taux de vacance financière logements du mois précédent","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. La comparaison se fait avec le mois précédent.","False","4038"
"% Vacance Financière Logements M","Taux de vacance financière logements mensuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","3617"
"% Tx Vac Fi mensuelle","Taux de vacance financière mensuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","519"
"vacance fi YTD recalcul","Taux de vacance financière recalculé cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","1317"
"% Tx Vac Strat Fi YTD","Taux de vacance financière stratégique cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","526"
"% Tx Vac Tech Fi YTD","Taux de vacance financière technique cumulé annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","545"
"% Vacance Financière Commerciale Logements YTD","Taux Vacance Financière Commerciale Logements cumul annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","3674"
"% Vacance Financière Stratégique Logements YTD","Taux Vacance Financière Stratégique Logements cumul annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","3679"
"% Vacance globale commerces et logements YTD","Taux Vacance globale commerces et logements cumul annuel","Vacance\Financière","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance. Le résultat est cumulé depuis le début de l'année.","False","3822"
"Vacance < 3M","Vacance < 3M","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","1534"
"Vacance financière - Commerces & Bureaux","Vacance financière - Commerces et Bureaux","Vacance\Financière","Mesure le montant ou le volume lié à la vacance.","False","3947"
"Vacance Financière Commerces YTD","Vacance Financière Commerces cumul annuel","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3684"
"Vacance Financière Commerces YTD LY","Vacance Financière Commerces cumul annuel année précédente","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3689"
"Vacance Financière Commerce et Logement TCC YTD","Vacance financière commerces et logements cumulée annuelle","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3807"
"Vacance Financière Commerce et Logement TCC M","Vacance financière commerces et logements mensuelle","Vacance\Financière","Mesure le montant ou le volume lié à la vacance.","False","3801"
"Vacance Financière Commerces M","Vacance financière commerces mensuelle","Vacance\Financière","Mesure le montant ou le volume lié à la vacance.","False","3648"
"Vacance financière commerciale LGT","Vacance financière commerciale logements","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","3622"
"Vacance financière commerciale LGT YTD","Vacance financière commerciale logements cumul annuel","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3627"
"vacance financière YTD","Vacance financière cumul annuel","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","427"
"Vacance financière YTD - Commerces & Bureaux","Vacance financière cumul annuel - Commerces et Bureaux","Vacance\Financière","Mesure le montant ou le volume lié à la vacance. La comparaison se fait avec la même période de l'année précédente.","False","3957"
"Vacance Financière YTD N-1","Vacance Financière cumul annuel année précédente","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","1155"
"VacanceFinanciereYTDRecalculeHC","Vacance financière hors charges recalculée cumulée annuelle","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","2871"
"Vacance Financière Logements YTD","Vacance financière logements cumulée annuelle","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3587"
"Vacance Financière Logements YTD LY","Vacance financière logements cumulée annuelle précédente","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3592"
"Vacance financière MEL LGT","Vacance financière logements en mise en location","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","3791"
"Vacance financière MEL LGT YTD","Vacance financière logements en mise en location cumulée annuelle","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3796"
"Vacance Financière Logements M","Vacance financière logements mensuelle","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","3580"
"VacanceFinanciereYTDRecalcule","Vacance financière recalculée cumulée annuelle","Vacance\Financière","Mesure le montant ou le volume lié à la vacance. Le résultat est cumulé depuis le début de l'année.","False","1394"
"Vacance Financière Stratégique LGT","Vacance Financière Stratégique logements","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","3632"
"Vacance Financière Stratégique LGT YTD","Vacance Financière Stratégique logements cumul annuel","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3637"
"Vacance financière technique LGT","Vacance financière technique logements","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","3755"
"Vacance financière technique LGT YTD","Vacance financière technique logements cumul annuel","Vacance\Financière","Compte les logements, commerces ou unités concernés par une situation de vacance. La comparaison se fait avec la même période de l'année précédente.","False","3760"
"Vacance commerciale","Nombre de logements en vacance commerciale","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","941"
"# Logements Vacants Stratégique","Nombre de logements en vacance stratégique","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","2791"
"# Logements Vacants Commercial","Nombre de logements vacants en commercial","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","2779"
"# UG Vacance Ordinaire","Nombre d'UG en vacance ordinaire","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","460"
"# UG Vacants Technique","Nombre d'UG en vacance technique","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","2785"
"Nb UG Vac Plus 3 Mois","Nombre d'UG vacantes depuis plus de trois mois","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1613"
"Vacance globale","Nombre total de logements vacants","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","945"
"Part vacance stratégique","Part vacance stratégique","Vacance\Physique","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","2894"
"Part vacance stratégique dans la vacance globale","Part vacance stratégique dans la vacance globale","Vacance\Physique","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","1096"
"% Vac com commerces","Taux de vacance commerciale des commerces","Vacance\Physique","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","2854"
"% Vac","Taux Vac","Vacance\Physique","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","1957"
"% Vac com","Taux Vac commerces","Vacance\Physique","Indique la part de vacance par rapport au volume de référence, pour suivre le niveau de vacance.","False","1088"
"Vacance commerciale - Commerces & Bureaux","Vacance commerciale - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","3928"
"Vacance commerciale YTD - Commerces & Bureaux","Vacance commerciale cumul annuel - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance. La comparaison se fait avec la même période de l'année précédente.","False","3940"
"TotalVacanceComm_ug","Vacance commerciale totale par UG","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1418"
"TotalVacanceDemol_ug","Vacance liée aux démolitions par UG","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","1562"
"TotalVacanceVendu_ug","Vacance liée aux ventes par UG","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","1538"
"Vacance MEL - Commerces & Bureaux","Vacance mise en location - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","3964"
"Vacance MEL YTD - Commerces & Bureaux","Vacance mise en location cumul annuel - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance. La comparaison se fait avec la même période de l'année précédente.","False","3974"
"Vacance moins de trois mois","Vacance moins de trois mois","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1645"
"Vacance phy commerciale commerces","Vacance phy commerciale commerces","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","2858"
"Vacance phy globale commerce","Vacance phy globale commerce","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","2862"
"Vacance stratégique - Commerces & Bureaux","Vacance stratégique - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","3981"
"Vacance stratégique YTD - Commerces & Bureaux","Vacance stratégique cumul annuel - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance. La comparaison se fait avec la même période de l'année précédente.","False","3991"
"Vacance Stratégique logement","Vacance Stratégique logement","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1092"
"TotalVacanceStrat_ug","Vacance stratégique totale par UG","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1443"
"Vacance technique - Commerces & Bureaux","Vacance technique - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance.","False","4005"
"Vacance technique YTD - Commerces & Bureaux","Vacance technique cumul annuel - Commerces et Bureaux","Vacance\Physique","Mesure le montant ou le volume lié à la vacance. La comparaison se fait avec la même période de l'année précédente.","False","4017"
"TotalVacanceTech_ug","Vacance technique totale par UG","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance.","False","1467"
"VacanceVolontaireYTD","Vacance Volontaire cumul annuel","Vacance\Physique","Compte les logements, commerces ou unités concernés par une situation de vacance. Le résultat est cumulé depuis le début de l'année.","False","1586"
"# CA","# CA","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","73"
"# CA presents","# CA presents","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","655"
"# Livraisons Mensuelles commerces","# Livraisons Mensuelles commerces","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1121"
"# Logements contractés","# Logements contractés","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2771"
"# Logements vacants m-1","# Logements vacants m-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1996"
"# Sorties YTD LY","# Sorties YTD LY","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3451"
"# UG M1","# UG M1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","47"
"% Entrées Salariés","% Entrées Salariés","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","410"
"% quittançable TTC","% quittançable TTC","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2898"
"% Tx Vac Comm Fi mensuelle","% Tx Vac Comm Fi mensuelle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","502"
"% Tx Vac Strat Fi mensuelle","% Tx Vac Strat Fi mensuelle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","470"
"% Tx Vac Tech Fi mensuelle","% Tx Vac Tech Fi mensuelle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","487"
"% tximpaye M Operation","% tximpaye M Operation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","157"
"% txrecouv Hpp M operation","% txrecouv Hpp M operation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","97"
"% txrecouv Hpp YTD operation","% txrecouv Hpp YTD operation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","137"
"% txrecouv M operation","% txrecouv M operation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","82"
"% txrecouv YTD operation","% txrecouv YTD operation","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","117"
"% Vac strat","% Vac strat","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1297"
"% Vacance Financière Commerces M","% Vacance Financière Commerces M","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3728"
"% Vacance Financière Commerces YTD","% Vacance Financière Commerces YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3723"
"% Vacance Financière Commerciale Commerces YTD","% Vacance Financière Commerciale Commerces YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3713"
"% Vacance Financière Stratégique Commerces YTD","% Vacance Financière Stratégique Commerces YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3718"
"% Vacance globale commerces et logements HC YTD","% Vacance globale commerces et logements HC YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3848"
"€ Quittancement logements et commerces M HC","€ Quittancement logements et commerces M HC","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3826"
"€ Quittancement logements et commerces YTD HC","€ Quittancement logements et commerces YTD HC","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3831"
"€ Quittancement YTD M-1","€ Quittancement YTD M-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3890"
"€ Total Vacance M UG","€ Total Vacance M UG","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","386"
"Absenteisme :","Absenteisme :","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1753"
"Acquisitions","Acquisitions","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1725"
"Affaires économiques sociales et familiales","Affaires économiques sociales et familiales","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1835"
"Affaires traitées","Affaires traitées","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1831"
"Agréments","Agréments","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1785"
"Agréments Réhab","Agréments Réhab","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1839"
"Aménagements PMR","Aménagements PMR","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1773"
"Attributions salariées","Attributions salariées","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1769"
"Autre variation de stock","Autre variation de stock","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","43"
"Balance annuelle","Balance annuelle","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","675"
"Compromis :","Compromis :","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1721"
"croissance_soldem_ca_operation_+","croissance_soldem_ca_operation_+","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1254"
"CroissanceSoldem_CA_Operation_YTD N-1","CroissanceSoldem_CA_Operation_YTD N-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1234"
"CroissanceSoldem_CA_Operation_YTD_test","CroissanceSoldem_CA_Operation_YTD_test","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3359"
"DAF Financements obtenus","DAF Financements obtenus","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1804"
"DAF Trésoreries","DAF Trésoreries","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1800"
"Dates données GL","Dates données GL","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2083"
"DDC Livraisons","DDC Livraisons","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1777"
"Découpage 2","Découpage 2","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2644"
"Découpage1","Découpage1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2617"
"Dette avec PP","Dette avec PP","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","901"
"Dette YTD","Dette YTD","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","3442"
"DIS dénominateur","DIS dénominateur","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2724"
"DIS indicateur % de loyer / loyer plafond","DIS indicateur % de loyer / loyer plafond","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2729"
"DIS numérateur","DIS numérateur","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2719"
"DistinctCount_CodeCA_par_Tranche","DistinctCount_CodeCA_par_Tranche","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2102"
"Dont CDI :","Dont CDI :","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1748"
"Encaissement_Alloc_Cumul_Annuel","Encaissement_Alloc_Cumul_Annuel","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","2573"
"Entrées 2024","Entrées 2024","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1761"
"Entrées salariées recalcul","Entrées salariées recalcul","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1815"
"Entrées salariés YTD graph","Entrées salariés YTD graph","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1277"
"Entrées YTD LOC","Entrées YTD LOC","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1301"
"Entrées YTD N-1","Entrées YTD N-1","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","602"
"ETP","ETP","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1743"
"Fonds propres","Fonds propres","À vérifier","À vérifier avant usage. Cette mesure n'a pas été retrouvée dans les rapports analysés et doit être confirmée avec le métier. Elle est conservée temporairement pour éviter de supprimer un calcul potentiellement utile.","True","1808"
